"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5438","product can be created","firefox","Tue May 26 16:29:52 UTC 2026","passed","Tue May 26 16:29:57 UTC 2026","Product UI Flow","eaWebApp/ui/product.ui.spec.ts","",""
"","4579","product can be created","chromium","Tue May 26 16:29:42 UTC 2026","passed","Tue May 26 16:29:46 UTC 2026","Product UI Flow","eaWebApp/ui/product.ui.spec.ts","",""
"","4684","Product can be deleted","firefox","Tue May 26 16:29:58 UTC 2026","passed","Tue May 26 16:30:03 UTC 2026","Product UI Flow","eaWebApp/ui/product.ui.spec.ts","",""
"","4293","Product can be deleted","chromium","Tue May 26 16:29:47 UTC 2026","passed","Tue May 26 16:29:51 UTC 2026","Product UI Flow","eaWebApp/ui/product.ui.spec.ts","",""
"","117","Should create a product","api","Tue May 26 16:29:41 UTC 2026","passed","Tue May 26 16:29:41 UTC 2026","Product API CRUD","eaWebApp/backend/products.api.spec.ts","",""
"","200","Should get list of products","api","Tue May 26 16:29:41 UTC 2026","passed","Tue May 26 16:29:41 UTC 2026","Product API CRUD","eaWebApp/backend/products.api.spec.ts","",""
"","17","Should get specific product by id","api","Tue May 26 16:29:41 UTC 2026","passed","Tue May 26 16:29:41 UTC 2026","Product API CRUD","eaWebApp/backend/products.api.spec.ts","",""
