"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4670","Product can be deleted","firefox","Tue May 19 13:56:28 UTC 2026","passed","Tue May 19 13:56:32 UTC 2026","Product UI Flow","eaWebApp/ui/product.ui.spec.ts","",""
"","5451","product can be created","firefox","Tue May 19 13:56:22 UTC 2026","passed","Tue May 19 13:56:27 UTC 2026","Product UI Flow","eaWebApp/ui/product.ui.spec.ts","",""
"","4554","product can be created","chromium","Tue May 19 13:56:11 UTC 2026","passed","Tue May 19 13:56:16 UTC 2026","Product UI Flow","eaWebApp/ui/product.ui.spec.ts","",""
"","17","Should get specific product by id","api","Tue May 19 13:56:10 UTC 2026","passed","Tue May 19 13:56:10 UTC 2026","Product API CRUD","eaWebApp/backend/products.api.spec.ts","",""
"","117","Should create a product","api","Tue May 19 13:56:10 UTC 2026","passed","Tue May 19 13:56:10 UTC 2026","Product API CRUD","eaWebApp/backend/products.api.spec.ts","",""
"","202","Should get list of products","api","Tue May 19 13:56:10 UTC 2026","passed","Tue May 19 13:56:10 UTC 2026","Product API CRUD","eaWebApp/backend/products.api.spec.ts","",""
"","4299","Product can be deleted","chromium","Tue May 19 13:56:17 UTC 2026","passed","Tue May 19 13:56:21 UTC 2026","Product UI Flow","eaWebApp/ui/product.ui.spec.ts","",""
