"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4573","product can be created","chromium","Tue May 19 11:55:14 UTC 2026","passed","Tue May 19 11:55:19 UTC 2026","Product UI Flow","eaWebApp/ui/product.ui.spec.ts","",""
"","4678","Product can be deleted","firefox","Tue May 19 11:55:31 UTC 2026","passed","Tue May 19 11:55:36 UTC 2026","Product UI Flow","eaWebApp/ui/product.ui.spec.ts","",""
"","5559","product can be created","firefox","Tue May 19 11:55:25 UTC 2026","passed","Tue May 19 11:55:31 UTC 2026","Product UI Flow","eaWebApp/ui/product.ui.spec.ts","",""
"","117","Should create a product","api","Tue May 19 11:55:13 UTC 2026","passed","Tue May 19 11:55:13 UTC 2026","Product API CRUD","eaWebApp/backend/products.api.spec.ts","",""
"","210","Should get list of products","api","Tue May 19 11:55:13 UTC 2026","passed","Tue May 19 11:55:13 UTC 2026","Product API CRUD","eaWebApp/backend/products.api.spec.ts","",""
"","17","Should get specific product by id","api","Tue May 19 11:55:13 UTC 2026","passed","Tue May 19 11:55:13 UTC 2026","Product API CRUD","eaWebApp/backend/products.api.spec.ts","",""
"","4298","Product can be deleted","chromium","Tue May 19 11:55:20 UTC 2026","passed","Tue May 19 11:55:24 UTC 2026","Product UI Flow","eaWebApp/ui/product.ui.spec.ts","",""
